LFEM_data- (8)
Below is the data for Univ. of Wash.(Urb.Hort.),,,,,,,,,,
 Pseudo-Julian-Date,Date,Time,Temperature,Dewpoint,Relhum,Speed,Gust,Direction,Pressure,Solar
2460489.7791667,2024-06-27,18:42,56.000000,53.800000,92.0,2.300000,6.200000,48,1014.8,171.8
2460489.7798611,2024-06-27,18:43,56.000000,53.800000,92.0,3.100000,5.600000,77,1014.8,178.8
2460489.7805556,2024-06-27,18:44,56.000000,54.000000,92.0,2.100000,3.700000,50,1014.8,189.6
2460489.7812500,2024-06-27,18:45,56.000000,54.000000,92.0,0.600000,1.900000,83,1014.8,204.6
2460489.7819444,2024-06-27,18:46,56.000000,54.000000,92.0,3.500000,5.400000,15,1014.8,219.4
2460489.7826389,2024-06-27,18:47,56.000000,54.000000,92.0,4.700000,6.600000,33,1014.8,209.5
2460489.7833333,2024-06-27,18:48,56.000000,54.000000,92.0,3.300000,5.800000,105,1014.8,197.5
2460489.7840278,2024-06-27,18:49,56.000000,54.000000,92.0,1.600000,4.500000,54,1014.8,194.9
2460489.7847222,2024-06-27,18:50,56.000000,54.000000,91.0,4.500000,7.600000,67,1014.8,182.8
2460489.7854167,2024-06-27,18:51,56.000000,54.000000,91.0,4.100000,7.000000,41,1014.8,181.2
2460489.7861111,2024-06-27,18:52,56.000000,54.000000,90.0,4.500000,6.200000,28,1014.8,176.6
2460489.7868056,2024-06-27,18:53,56.000000,53.600000,90.0,1.900000,4.500000,9,1014.8,168.2
2460489.7875000,2024-06-27,18:54,56.000000,53.800000,90.0,4.900000,7.000000,41,1014.8,156.3
2460489.7881944,2024-06-27,18:55,56.000000,53.600000,90.0,4.900000,8.600000,34,1014.8,145.2
2460489.7888889,2024-06-27,18:56,56.000000,53.600000,90.0,4.900000,7.600000,17,1014.8,133.5
2460489.7895833,2024-06-27,18:57,56.000000,53.400000,90.0,4.300000,7.000000,46,1014.8,119.3
2460489.7902778,2024-06-27,18:58,56.000000,53.600000,90.0,3.300000,5.100000,37,1014.8,111.5
2460489.7909722,2024-06-27,18:59,56.000000,53.600000,90.0,2.700000,5.100000,41,1014.8,109.0
2460489.7916667,2024-06-27,19:00,56.000000,53.600000,90.0,3.100000,5.200000,18,1014.8,112.3
2460489.7923611,2024-06-27,19:01,56.000000,53.600000,90.0,3.500000,4.900000,52,1014.9,121.3
2460489.7930556,2024-06-27,19:02,56.000000,53.600000,90.0,2.700000,4.500000,54,1014.8,127.7
2460489.7937500,2024-06-27,19:03,56.000000,53.800000,90.0,4.300000,6.200000,50,1014.8,130.6
2460489.7944444,2024-06-27,19:04,56.000000,53.800000,91.0,1.700000,3.700000,21,1014.8,130.2
2460489.7951389,2024-06-27,19:05,56.000000,54.000000,91.0,5.200000,7.400000,52,1014.8,121.1
2460489.7958333,2024-06-27,19:06,56.000000,54.000000,91.0,2.700000,3.900000,52,1014.8,114.3
2460489.7965278,2024-06-27,19:07,56.000000,54.000000,91.0,0.600000,2.700000,48,1014.8,101.9
2460489.7972222,2024-06-27,19:08,56.000000,54.000000,91.0,1.000000,3.100000,356,1014.8,91.6
2460489.7979167,2024-06-27,19:09,56.000000,54.100000,91.0,1.600000,2.700000,23,1014.8,87.5
2460489.7986111,2024-06-27,19:10,56.000000,54.100000,91.0,3.700000,5.600000,14,1014.8,86.5
2460489.7993056,2024-06-27,19:11,56.000000,54.000000,90.0,2.900000,7.000000,25,1014.8,90.1
2460489.8000000,2024-06-27,19:12,56.000000,54.000000,90.0,2.500000,5.100000,31,1014.8,95.3
2460489.8006944,2024-06-27,19:13,56.000000,54.000000,90.0,2.900000,4.100000,26,1014.8,104.6
2460489.8013889,2024-06-27,19:14,56.000000,54.000000,90.0,3.500000,5.200000,68,1014.8,117.0
2460489.8020833,2024-06-27,19:15,56.000000,53.600000,90.0,3.300000,6.200000,29,1014.9,135.0
2460489.8027778,2024-06-27,19:16,56.000000,53.600000,89.0,4.500000,5.800000,36,1014.9,159.7
2460489.8034722,2024-06-27,19:17,56.000000,53.600000,89.0,4.700000,6.800000,28,1014.9,193.9
2460489.8041667,2024-06-27,19:18,56.000000,53.400000,89.0,4.500000,7.000000,53,1014.9,238.8
2460489.8048611,2024-06-27,19:19,56.000000,53.400000,89.0,5.400000,8.000000,27,1014.9,288.2
2460489.8055556,2024-06-27,19:20,56.000000,53.600000,89.0,5.100000,8.600000,40,1014.9,321.1
2460489.8062500,2024-06-27,19:21,56.000000,53.600000,89.0,4.500000,7.000000,33,1014.9,335.8
2460489.8069444,2024-06-27,19:22,56.000000,53.600000,89.0,4.900000,9.700000,20,1014.9,326.2
2460489.8076389,2024-06-27,19:23,56.000000,53.400000,89.0,2.300000,5.200000,51,1014.9,312.3
2460489.8083333,2024-06-27,19:24,56.000000,53.800000,89.0,2.900000,5.800000,80,1014.9,302.5
2460489.8090278,2024-06-27,19:25,57.000000,53.800000,89.0,4.100000,6.600000,55,1014.9,297.9
2460489.8097222,2024-06-27,19:26,57.000000,53.800000,89.0,3.700000,6.000000,40,1014.9,299.5
2460489.8104167,2024-06-27,19:27,57.000000,54.000000,89.0,3.300000,5.800000,38,1014.9,300.8
2460489.8111111,2024-06-27,19:28,57.000000,53.800000,88.0,1.600000,4.100000,103,1014.9,307.2
2460489.8118056,2024-06-27,19:29,57.000000,54.000000,89.0,0.800000,2.100000,37,1014.9,315.7
2460489.8125000,2024-06-27,19:30,57.000000,54.300000,89.0,0.200000,1.600000,341,1014.9,312.1
2460489.8131944,2024-06-27,19:31,57.000000,54.500000,89.0,1.000000,6.200000,119,1014.8,292.8
2460489.8138889,2024-06-27,19:32,57.000000,54.700000,89.0,4.500000,7.400000,40,1014.9,273.4
2460489.8145833,2024-06-27,19:33,57.000000,54.700000,88.0,3.100000,5.400000,70,1014.9,247.8
2460489.8152778,2024-06-27,19:34,57.000000,54.300000,88.0,3.100000,6.800000,52,1014.9,218.9
2460489.8159722,2024-06-27,19:35,58.000000,54.300000,86.0,5.800000,8.600000,45,1014.9,181.8
2460489.8166667,2024-06-27,19:36,57.000000,53.800000,86.0,5.200000,7.400000,69,1014.9,152.8
2460489.8173611,2024-06-27,19:37,58.000000,54.000000,86.0,2.900000,4.300000,52,1014.9,144.4
2460489.8180556,2024-06-27,19:38,58.000000,54.100000,86.0,1.900000,4.500000,64,1014.9,138.1
2460489.8187500,2024-06-27,19:39,58.000000,54.100000,87.0,2.500000,4.500000,96,1014.9,136.1
2460489.8194444,2024-06-27,19:40,58.000000,54.300000,87.0,3.700000,8.000000,51,1014.9,140.3
2460489.8201389,2024-06-27,19:41,58.000000,54.300000,86.0,5.200000,8.900000,37,1014.9,145.5
2460489.8208333,2024-06-27,19:42,58.000000,53.800000,86.0,3.500000,6.600000,28,1014.9,148.8
2460489.8215278,2024-06-27,19:43,58.000000,53.800000,85.0,5.800000,8.200000,45,1014.9,140.3
2460489.8222222,2024-06-27,19:44,58.000000,53.800000,86.0,4.500000,6.200000,58,1014.9,135.0
2460489.8229167,2024-06-27,19:45,58.000000,53.800000,86.0,3.300000,5.600000,34,1014.9,137.1
2460489.8236111,2024-06-27,19:46,58.000000,53.800000,86.0,1.200000,2.500000,26,1014.9,142.9
2460489.8243056,2024-06-27,19:47,58.000000,54.000000,86.0,4.300000,6.800000,42,1014.9,148.7
2460489.8250000,2024-06-27,19:48,57.000000,53.800000,86.0,2.700000,4.500000,3,1014.9,158.5
2460489.8256944,2024-06-27,19:49,57.000000,53.800000,86.0,2.700000,4.700000,41,1014.9,167.9
2460489.8263889,2024-06-27,19:50,57.000000,53.800000,86.0,2.300000,4.300000,6,1014.9,173.2
2460489.8270833,2024-06-27,19:51,57.000000,53.800000,85.0,2.700000,3.900000,70,1014.9,175.9
2460489.8277778,2024-06-27,19:52,57.000000,53.600000,86.0,3.100000,5.600000,19,1014.9,188.4
2460489.8284722,2024-06-27,19:53,57.000000,53.800000,86.0,4.500000,6.600000,68,1014.9,204.9
2460489.8291667,2024-06-27,19:54,57.000000,53.600000,86.0,4.100000,5.400000,56,1014.9,225.4
2460489.8298611,2024-06-27,19:55,57.000000,53.600000,86.0,1.200000,2.700000,25,1014.9,239.4
2460489.8305556,2024-06-27,19:56,57.000000,53.800000,86.0,1.900000,5.100000,76,1014.9,234.6
2460489.8312500,2024-06-27,19:57,57.000000,53.800000,86.0,2.300000,6.200000,40,1014.9,221.2
2460489.8319444,2024-06-27,19:58,57.000000,53.400000,85.0,1.900000,4.900000,14,1014.9,212.4
2460489.8326389,2024-06-27,19:59,57.000000,53.800000,86.0,3.300000,4.900000,33,1014.9,208.6
2460489.8333333,2024-06-27,20:00,57.000000,53.800000,86.0,4.300000,8.000000,36,1014.9,208.9
2460489.8340278,2024-06-27,20:01,57.000000,53.800000,86.0,4.100000,6.800000,31,1014.9,227.7
2460489.8347222,2024-06-27,20:02,57.000000,53.800000,86.0,4.500000,8.600000,39,1014.9,264.6
2460489.8354167,2024-06-27,20:03,57.000000,53.800000,87.0,2.100000,4.100000,33,1014.9,300.4
2460489.8361111,2024-06-27,20:04,57.000000,54.000000,87.0,2.500000,3.900000,66,1014.9,335.4
2460489.8368056,2024-06-27,20:05,57.000000,54.100000,87.0,1.700000,5.100000,48,1014.9,362.3
2460489.8375000,2024-06-27,20:06,57.000000,54.100000,87.0,3.900000,6.400000,78,1014.9,368.9
2460489.8381944,2024-06-27,20:07,57.000000,54.000000,87.0,4.300000,7.800000,81,1014.9,380.1
2460489.8388889,2024-06-27,20:08,57.000000,54.000000,87.0,2.700000,6.200000,69,1014.9,527.9
2460489.8395833,2024-06-27,20:09,57.000000,54.300000,88.0,1.900000,4.500000,26,1014.9,735.1
2460489.8402778,2024-06-27,20:10,58.000000,54.900000,89.0,3.300000,4.500000,36,1014.9,789.5
2460489.8409722,2024-06-27,20:11,58.000000,55.200000,89.0,3.700000,6.800000,53,1014.9,542.3
2460489.8416667,2024-06-27,20:12,58.000000,55.400000,88.0,3.300000,6.400000,91,1014.8,394.4
2460489.8423611,2024-06-27,20:13,58.000000,55.200000,88.0,1.900000,4.300000,48,1014.8,326.5
2460489.8430556,2024-06-27,20:14,59.000000,55.600000,89.0,1.700000,4.500000,45,1014.8,312.8
2460489.8437500,2024-06-27,20:15,59.000000,55.200000,87.0,5.600000,8.200000,34,1014.8,311.0
2460489.8444444,2024-06-27,20:16,59.000000,55.200000,87.0,5.600000,7.000000,35,1014.8,332.3
2460489.8451389,2024-06-27,20:17,59.000000,55.200000,86.0,4.900000,9.100000,21,1014.8,319.1
2460489.8458333,2024-06-27,20:18,59.000000,55.000000,87.0,2.300000,3.700000,49,1014.9,273.2
2460489.8465278,2024-06-27,20:19,59.000000,55.600000,87.0,3.100000,6.800000,54,1014.9,246.8
2460489.8472222,2024-06-27,20:20,59.000000,55.000000,85.0,4.100000,5.800000,22,1014.9,214.0
2460489.8479167,2024-06-27,20:21,59.000000,54.900000,86.0,3.100000,6.400000,78,1014.9,188.2
2460489.8486111,2024-06-27,20:22,59.000000,55.000000,86.0,2.700000,4.900000,83,1014.9,162.6
2460489.8493056,2024-06-27,20:23,59.000000,55.400000,87.0,0.600000,2.900000,28,1014.9,153.8
2460489.8500000,2024-06-27,20:24,59.000000,55.400000,87.0,0.000000,0.000000,0,1014.9,148.0
2460489.8506944,2024-06-27,20:25,59.000000,55.200000,86.0,1.600000,3.300000,287,1014.9,155.3
2460489.8513889,2024-06-27,20:26,59.000000,55.000000,86.0,1.000000,2.700000,65,1014.9,167.2
2460489.8520833,2024-06-27,20:27,59.000000,55.200000,87.0,0.600000,2.300000,134,1014.9,173.8
2460489.8527778,2024-06-27,20:28,59.000000,55.400000,87.0,0.200000,1.600000,143,1014.9,158.3
2460489.8534722,2024-06-27,20:29,59.000000,55.600000,87.0,0.600000,2.300000,208,1014.9,144.6
2460489.8541667,2024-06-27,20:30,59.000000,55.600000,87.0,0.000000,0.800000,243,1015.0,134.1
2460489.8548611,2024-06-27,20:31,59.000000,55.600000,87.0,2.500000,4.500000,101,1015.0,126.2
2460489.8555556,2024-06-27,20:32,59.000000,55.400000,86.0,3.900000,5.600000,120,1015.0,124.1
2460489.8562500,2024-06-27,20:33,59.000000,55.000000,86.0,2.300000,6.200000,154,1015.0,125.0
2460489.8569444,2024-06-27,20:34,59.000000,55.000000,86.0,1.600000,3.500000,129,1015.0,126.0
2460489.8576389,2024-06-27,20:35,59.000000,55.000000,86.0,1.600000,3.700000,118,1015.0,127.4
2460489.8583333,2024-06-27,20:36,59.000000,55.000000,86.0,2.500000,4.900000,98,1015.0,127.2
2460489.8590278,2024-06-27,20:37,59.000000,55.000000,86.0,1.000000,2.300000,33,1015.0,129.0
2460489.8597222,2024-06-27,20:38,59.000000,55.200000,87.0,0.600000,2.300000,137,1015.0,135.0
2460489.8604167,2024-06-27,20:39,59.000000,55.200000,86.0,0.600000,1.900000,118,1015.0,142.2
2460489.8611111,2024-06-27,20:40,59.000000,55.000000,86.0,0.000000,0.800000,33,1015.0,147.7
2460489.8618056,2024-06-27,20:41,59.000000,55.000000,87.0,0.200000,1.700000,82,1015.0,152.0
2460489.8625000,2024-06-27,20:42,59.000000,55.000000,87.0,1.000000,3.700000,124,1015.0,153.5
2460489.8631944,2024-06-27,20:43,59.000000,54.900000,86.0,2.500000,4.300000,88,1015.0,146.3
2460489.8638889,2024-06-27,20:44,58.000000,54.700000,85.0,2.100000,4.700000,86,1015.0,139.3
2460489.8645833,2024-06-27,20:45,58.000000,54.300000,85.0,1.900000,3.300000,100,1015.0,141.5
2460489.8652778,2024-06-27,20:46,58.000000,54.300000,85.0,2.500000,4.700000,80,1015.0,149.0
2460489.8659722,2024-06-27,20:47,58.000000,54.500000,86.0,1.900000,3.300000,84,1015.0,158.1
2460489.8666667,2024-06-27,20:48,58.000000,54.500000,86.0,2.300000,3.500000,79,1015.0,170.5
2460489.8673611,2024-06-27,20:49,58.000000,54.700000,86.0,2.100000,4.100000,91,1015.0,186.2
2460489.8680556,2024-06-27,20:50,58.000000,54.700000,86.0,4.100000,5.800000,72,1014.9,191.3
2460489.8687500,2024-06-27,20:51,58.000000,54.700000,87.0,2.900000,4.900000,81,1014.9,189.8
2460489.8694444,2024-06-27,20:52,58.000000,54.700000,87.0,4.300000,6.800000,86,1014.9,180.9
2460489.8701389,2024-06-27,20:53,58.000000,54.500000,87.0,1.700000,3.100000,71,1014.9,189.7
2460489.8708333,2024-06-27,20:54,58.000000,54.700000,88.0,1.900000,4.300000,116,1014.9,200.3
2460489.8715278,2024-06-27,20:55,58.000000,54.900000,87.0,1.900000,4.500000,76,1014.9,208.7
2460489.8722222,2024-06-27,20:56,58.000000,54.900000,88.0,0.200000,1.600000,68,1014.9,210.2
2460489.8729167,2024-06-27,20:57,58.000000,55.000000,88.0,2.500000,5.600000,122,1014.9,216.4
2460489.8736111,2024-06-27,20:58,58.000000,54.900000,88.0,1.000000,2.500000,104,1014.9,237.2
2460489.8743056,2024-06-27,20:59,58.000000,54.900000,88.0,0.600000,2.500000,111,1014.9,267.7
2460489.8750000,2024-06-27,21:00,58.000000,55.200000,88.0,0.400000,2.100000,170,1014.9,289.4
2460489.8756944,2024-06-27,21:01,58.000000,55.400000,89.0,2.300000,2.700000,117,1014.9,301.0
2460489.8763889,2024-06-27,21:02,58.000000,55.400000,88.0,1.700000,3.100000,108,1015.0,308.3
2460489.8770833,2024-06-27,21:03,58.000000,55.400000,88.0,0.600000,1.900000,112,1015.0,347.4
2460489.8777778,2024-06-27,21:04,59.000000,55.600000,89.0,0.600000,2.100000,104,1015.0,405.7
2460489.8784722,2024-06-27,21:05,59.000000,55.900000,89.0,0.800000,3.300000,54,1015.0,446.9
2460489.8791667,2024-06-27,21:06,59.000000,55.900000,88.0,1.900000,7.200000,31,1015.0,436.2
2460489.8798611,2024-06-27,21:07,59.000000,55.800000,88.0,0.000000,1.000000,93,1015.0,368.3
2460489.8805556,2024-06-27,21:08,59.000000,55.900000,88.0,2.300000,4.100000,77,1015.0,323.2
2460489.8812500,2024-06-27,21:09,59.000000,55.900000,88.0,1.000000,2.700000,67,1015.0,271.7
2460489.8819444,2024-06-27,21:10,59.000000,56.300000,88.0,2.500000,5.800000,33,1015.0,221.0
2460489.8826389,2024-06-27,21:11,59.000000,55.900000,87.0,2.500000,4.300000,44,1015.0,199.8
2460489.8833333,2024-06-27,21:12,59.000000,55.900000,87.0,2.300000,4.500000,56,1015.0,199.6
2460489.8840278,2024-06-27,21:13,59.000000,55.900000,87.0,1.400000,2.700000,100,1015.0,194.6
2460489.8847222,2024-06-27,21:14,59.000000,56.100000,87.0,0.200000,1.200000,98,1015.0,188.0
2460489.8854167,2024-06-27,21:15,60.000000,56.100000,86.0,3.500000,6.200000,138,1015.1,184.7
2460489.8861111,2024-06-27,21:16,59.000000,55.600000,86.0,2.500000,4.300000,129,1015.1,186.8
2460489.8868056,2024-06-27,21:17,59.000000,55.800000,86.0,2.700000,5.100000,115,1015.1,184.3
2460489.8875000,2024-06-27,21:18,59.000000,55.400000,85.0,1.600000,4.700000,158,1015.1,180.2
2460489.8881944,2024-06-27,21:19,59.000000,55.200000,84.0,3.500000,4.900000,91,1015.0,174.6
2460489.8888889,2024-06-27,21:20,59.000000,55.000000,84.0,1.000000,2.900000,109,1015.0,179.7
2460489.8895833,2024-06-27,21:21,59.000000,55.400000,85.0,2.100000,3.300000,59,1015.0,192.0
2460489.8902778,2024-06-27,21:22,59.000000,55.400000,85.0,3.500000,6.800000,50,1015.0,207.6
2460489.8909722,2024-06-27,21:23,59.000000,55.200000,84.0,2.500000,5.200000,69,1015.0,215.1
2460489.8916667,2024-06-27,21:24,59.000000,55.000000,84.0,4.100000,5.800000,80,1015.0,213.6
2460489.8923611,2024-06-27,21:25,59.000000,54.500000,83.0,1.700000,4.500000,65,1015.0,210.9
2460489.8930556,2024-06-27,21:26,59.000000,54.700000,84.0,4.300000,6.200000,49,1015.0,203.1
2460489.8937500,2024-06-27,21:27,59.000000,54.700000,84.0,2.100000,5.600000,49,1015.0,200.6
2460489.8944444,2024-06-27,21:28,59.000000,54.500000,84.0,1.700000,3.300000,119,1015.0,197.6
2460489.8951389,2024-06-27,21:29,59.000000,54.700000,84.0,2.700000,4.900000,61,1015.0,192.3
2460489.8958333,2024-06-27,21:30,59.000000,54.500000,83.0,3.700000,5.400000,34,1015.0,184.9
2460489.8965278,2024-06-27,21:31,59.000000,54.300000,83.0,3.900000,6.200000,71,1015.0,176.7
2460489.8972222,2024-06-27,21:32,59.000000,54.500000,84.0,1.900000,3.900000,93,1015.0,174.6
2460489.8979167,2024-06-27,21:33,59.000000,54.700000,84.0,2.100000,3.500000,70,1015.0,175.8
2460489.8986111,2024-06-27,21:34,59.000000,54.700000,84.0,4.300000,5.400000,52,1015.0,172.5
2460489.8993056,2024-06-27,21:35,59.000000,54.700000,84.0,4.300000,7.600000,93,1015.0,166.3
2460489.9000000,2024-06-27,21:36,59.000000,54.700000,85.0,1.700000,3.300000,85,1015.0,161.2
2460489.9006944,2024-06-27,21:37,59.000000,54.900000,85.0,3.900000,5.200000,107,1015.0,153.6
2460489.9013889,2024-06-27,21:38,59.000000,54.700000,85.0,2.100000,4.100000,96,1015.0,147.9
2460489.9020833,2024-06-27,21:39,59.000000,55.000000,85.0,2.500000,4.300000,20,1015.1,146.0
2460489.9027778,2024-06-27,21:40,59.000000,54.900000,85.0,2.900000,4.700000,79,1015.1,143.0
2460489.9034722,2024-06-27,21:41,59.000000,54.900000,85.0,4.100000,5.800000,56,1015.1,141.7
2460489.9041667,2024-06-27,21:42,59.000000,54.900000,85.0,2.900000,5.100000,24,1015.0,144.8
2460489.9048611,2024-06-27,21:43,59.000000,54.900000,85.0,1.000000,2.700000,45,1015.0,150.5
2460489.9055556,2024-06-27,21:44,59.000000,55.000000,86.0,2.100000,3.500000,38,1015.0,156.4
2460489.9062500,2024-06-27,21:45,59.000000,54.900000,85.0,3.700000,6.200000,40,1015.0,162.8
2460489.9069444,2024-06-27,21:46,59.000000,54.900000,86.0,3.300000,5.600000,50,1015.0,168.9
2460489.9076389,2024-06-27,21:47,59.000000,55.000000,86.0,1.600000,3.900000,84,1015.0,172.2
2460489.9083333,2024-06-27,21:48,59.000000,54.900000,86.0,2.100000,5.100000,75,1014.9,177.3
2460489.9090278,2024-06-27,21:49,59.000000,54.900000,86.0,2.300000,6.200000,89,1014.9,199.7
2460489.9097222,2024-06-27,21:50,59.000000,54.900000,86.0,4.500000,7.000000,91,1014.9,246.9
2460489.9104167,2024-06-27,21:51,59.000000,55.000000,86.0,2.100000,4.900000,54,1014.9,392.7
2460489.9111111,2024-06-27,21:52,59.000000,55.000000,86.0,5.400000,7.200000,25,1014.9,329.6
2460489.9118056,2024-06-27,21:53,59.000000,54.900000,86.0,3.900000,6.000000,73,1014.9,297.0
2460489.9125000,2024-06-27,21:54,59.000000,55.200000,87.0,3.900000,7.400000,34,1014.9,280.7
2460489.9131944,2024-06-27,21:55,59.000000,55.400000,87.0,1.600000,3.500000,75,1014.9,291.4
2460489.9138889,2024-06-27,21:56,59.000000,55.600000,87.0,0.800000,2.700000,72,1014.9,317.4
2460489.9145833,2024-06-27,21:57,59.000000,55.600000,87.0,3.500000,6.000000,118,1014.9,325.1
2460489.9152778,2024-06-27,21:58,59.000000,55.600000,87.0,0.400000,3.100000,28,1014.9,319.1
2460489.9159722,2024-06-27,21:59,59.000000,55.900000,87.0,1.900000,4.500000,56,1014.9,312.3
2460489.9166667,2024-06-27,22:00,59.000000,55.900000,87.0,2.900000,5.400000,96,1014.9,306.0
2460489.9173611,2024-06-27,22:01,59.000000,55.800000,86.0,2.500000,3.900000,114,1014.9,301.1
2460489.9180556,2024-06-27,22:02,59.000000,55.600000,86.0,4.500000,8.700000,66,1015.0,303.4
2460489.9187500,2024-06-27,22:03,59.000000,55.400000,85.0,3.700000,5.800000,70,1014.9,310.3
2460489.9194444,2024-06-27,22:04,59.000000,55.400000,84.0,3.100000,5.800000,102,1015.0,325.1
2460489.9201389,2024-06-27,22:05,59.000000,55.200000,84.0,5.800000,8.200000,67,1015.0,348.8
2460489.9208333,2024-06-27,22:06,59.000000,54.900000,83.0,4.100000,8.000000,37,1015.0,387.2
2460489.9215278,2024-06-27,22:07,59.000000,55.200000,84.0,2.900000,6.200000,72,1015.0,408.9
2460489.9222222,2024-06-27,22:08,60.000000,55.000000,83.0,1.700000,3.700000,52,1015.0,441.1
2460489.9229167,2024-06-27,22:09,60.000000,55.200000,84.0,0.600000,2.900000,19,1014.9,457.2
2460489.9236111,2024-06-27,22:10,60.000000,55.600000,84.0,3.300000,5.100000,105,1014.9,468.2
2460489.9243056,2024-06-27,22:11,60.000000,55.400000,83.0,2.300000,3.500000,10,1014.9,483.6
2460489.9250000,2024-06-27,22:12,60.000000,55.200000,83.0,1.000000,5.400000,31,1014.9,515.1
2460489.9256944,2024-06-27,22:13,60.000000,55.600000,83.0,3.900000,6.800000,63,1014.9,525.9
2460489.9263889,2024-06-27,22:14,60.000000,55.200000,81.0,3.300000,5.800000,42,1014.9,487.1
2460489.9270833,2024-06-27,22:15,60.000000,55.000000,81.0,4.100000,6.000000,107,1014.9,467.7
2460489.9277778,2024-06-27,22:16,60.000000,55.000000,81.0,4.300000,7.600000,90,1014.9,452.3
2460489.9284722,2024-06-27,22:17,61.000000,54.900000,80.0,4.900000,8.600000,91,1014.9,426.9
2460489.9291667,2024-06-27,22:18,60.000000,54.900000,80.0,5.200000,8.000000,77,1014.9,401.9
2460489.9298611,2024-06-27,22:19,60.000000,54.900000,81.0,2.900000,4.300000,66,1014.9,388.7
2460489.9305556,2024-06-27,22:20,61.000000,55.200000,81.0,4.100000,6.000000,77,1014.9,368.6
2460489.9312500,2024-06-27,22:21,61.000000,55.000000,80.0,3.100000,5.200000,98,1014.9,345.6
2460489.9319444,2024-06-27,22:22,61.000000,55.200000,81.0,1.900000,5.100000,58,1014.9,318.9
2460489.9326389,2024-06-27,22:23,61.000000,56.100000,83.0,0.800000,2.500000,50,1014.9,304.8
2460489.9333333,2024-06-27,22:24,61.000000,56.100000,81.0,2.100000,3.900000,46,1014.8,303.2
2460489.9340278,2024-06-27,22:25,61.000000,55.800000,81.0,3.100000,5.100000,17,1014.9,298.0
2460489.9347222,2024-06-27,22:26,61.000000,55.400000,80.0,5.200000,8.400000,44,1014.8,296.1
2460489.9354167,2024-06-27,22:27,61.000000,55.000000,79.0,4.900000,8.600000,32,1014.8,300.6
2460489.9361111,2024-06-27,22:28,61.000000,55.000000,79.0,2.700000,4.700000,22,1014.8,302.8
2460489.9368056,2024-06-27,22:29,61.000000,55.200000,80.0,2.500000,3.700000,2,1014.8,311.1
2460489.9375000,2024-06-27,22:30,61.000000,55.200000,79.0,3.100000,6.600000,5,1014.8,309.7
2460489.9381944,2024-06-27,22:31,61.000000,54.900000,79.0,1.700000,4.300000,20,1014.8,299.5
2460489.9388889,2024-06-27,22:32,61.000000,55.200000,79.0,3.500000,6.000000,99,1014.8,275.5
2460489.9395833,2024-06-27,22:33,61.000000,54.900000,79.0,1.200000,5.200000,39,1014.8,263.7
2460489.9402778,2024-06-27,22:34,61.000000,54.500000,78.0,2.700000,4.500000,27,1014.8,246.8
2460489.9409722,2024-06-27,22:35,61.000000,54.900000,79.0,3.700000,5.200000,30,1014.8,236.0
2460489.9416667,2024-06-27,22:36,61.000000,54.900000,79.0,2.500000,3.700000,36,1014.8,237.5
2460489.9423611,2024-06-27,22:37,61.000000,54.700000,79.0,0.000000,1.400000,56,1014.8,240.7
2460489.9430556,2024-06-27,22:38,61.000000,54.900000,79.0,1.200000,4.300000,165,1014.8,249.1
2460489.9437500,2024-06-27,22:39,61.000000,54.900000,79.0,0.400000,2.300000,347,1014.8,256.9
2460489.9444444,2024-06-27,22:40,61.000000,55.000000,80.0,0.000000,1.000000,74,1014.8,261.7
